ticker,last_price,ret_1d,ret_5d,ret_20d,ytd,ma20,ma50,ma200,rsi14,volume_ratio,above_20ma,above_50ma,above_200ma,volume_ratio_zscore,sector_score
GOOG,381.77,-0.0004451312422045772,0.11524299148571004,0.2965088639959208,0.2115911932167065,334.778,314.1446,281.022,86.13,1.06,True,True,True,0.11704099476270687,
ABNB,142.61,0.016030207966770682,-0.0014704292332827773,0.14133656737442446,0.07217507330264761,137.04,132.895,128.3566,73.32,0.279,True,True,True,-0.2864884050908048,
SI=F,76.44,0.039519215525477325,0.0007462289269735134,0.05093836254848938,0.08339478862048488,76.1457,78.2343,61.797,51.65,8.807,True,False,True,4.119783966164954,
AMD,361.71,0.02036729222150835,0.03996433108321651,0.6630344434716235,0.6186064772866162,284.9535,235.4002,211.3884,83.6,0.563,True,True,True,-0.13975044150770968,
INTU,399.14,0.027387425092503248,0.008056578717159368,-0.05232561720288309,-0.3627699173682569,390.147,413.4917,585.9667,61.71,0.329,True,False,False,-0.2606542565726543,
WDAY,125.5,0.02532678460355786,0.04792917302422972,-0.05111140773929601,-0.3901549924951728,122.0015,129.8776,195.7678,56.24,0.635,True,False,False,-0.10254926764157286,
AMGN,327.21,-0.054989194353564974,-0.05032650399717842,-0.05957926895692056,0.005607552192656184,345.901,357.6546,322.0442,32.06,0.844,False,False,True,0.005437473164296433,
COIN,193.17,0.028758554474168196,-0.033038023538879635,0.12661839848932122,-0.18331713031804575,189.395,187.5782,264.1149,59.07,0.471,True,True,False,-0.1872852747811067,
FTNT,86.52,0.026212776046360853,0.02584776381115872,0.048346030810440865,0.11093990362550055,82.929,81.9144,83.1263,68.31,0.328,True,True,True,-0.26117093954301723,
NXPI,292.335,-0.004274685440467496,0.19789788353386917,0.5026213665866957,0.3279651795731513,228.1387,214.0391,218.6949,86.62,0.339,True,True,True,-0.25548742686902415,
IWM,279.48,0.005432275997387492,0.010229593899440559,0.11218121872484033,0.12540061978132844,269.95,259.5964,247.1706,72.42,0.756,True,True,True,-0.040030628227648524,
XLC,116.845,0.0028752817640578243,0.011294792235027717,0.04606091685790226,0.002719140382112295,115.9602,114.9166,113.9379,58.71,0.797,True,True,True,-0.018846626442765052,0.0010567532639842166
PEP,157.13,-0.00858098658095019,0.010872377861955496,0.0007643486413302369,0.11463000097633347,155.9965,157.6657,147.9752,53.06,0.349,True,False,True,-0.25032059716539407,
EXC,46.43,0.009567267028715909,-0.010443262636225858,-0.05878778467940926,0.06620142093076709,47.487,48.1967,45.2227,37.05,0.422,False,False,True,-0.21260274032889423,
ISRG,459.07,0.003190537836569529,-0.04800712089478243,0.015484327397503383,-0.18312035432061768,463.2445,475.0064,500.1667,50.04,0.318,False,False,False,-0.26633776924664737,
GC=F,4641.0,0.005699136146312345,-0.01721614637994806,-0.0022573363431150906,0.07570000580586611,4718.03,4833.382,4254.488,42.81,17.214,False,False,True,8.463537698006787,
SNOW,140.515,0.029640200284043683,0.0013896241109734309,-0.07464607348214491,-0.351598933891515,142.6133,157.9265,207.112,55.79,0.742,False,False,False,-0.047264189812730686,
TEAM,86.5253,0.26148569313258796,0.20929832818700222,0.2670273526470557,-0.4409065511536724,67.7873,71.3319,134.4306,73.47,2.028,True,True,False,0.6171901100741016,
XLV,145.58,-0.0028084365140227385,0.00971014860863284,-0.008378146910929196,-0.06000594298712736,146.5495,149.1019,145.9862,42.74,0.651,False,False,False,-0.09428234011576468,-0.017347641697574457
^VIX,16.79,-0.005920572986070183,-0.10261882751981055,-0.2966066055627937,0.15713305655965581,19.2215,22.2408,18.2782,37.21,,False,False,False,,
DASH,175.34,0.03966796729036659,-0.008145731708053883,0.12074144939675358,-0.2022384926795785,170.6378,167.3837,217.0688,63.28,0.481,True,True,False,-0.18211844507747657,
QCOM,178.6309,-0.005285091157201327,0.20007321348136764,0.40876104773004474,0.03929822686170281,140.367,136.567,155.3555,90.88,0.826,True,True,True,-0.0038628203022377746,
PAYX,93.07,0.0047501074646747465,0.03618347819018397,0.014940052259274195,-0.13409023217331384,91.047,92.2992,112.7058,62.03,0.261,True,True,False,-0.295788698557339,
MU,534.45,0.03343267066352773,0.07595830828959094,0.4592890630676634,0.6951192115100622,461.378,425.4201,276.8199,77.1,0.729,True,True,True,-0.05398106842744984,
XLRE,44.32,-0.0018018429798489777,0.011179508174748776,0.06512855190390154,0.10495019259699423,43.4525,42.6012,41.253,62.17,0.599,True,True,True,-0.12114985457464128,-0.021777039952428114
XLP,84.12,-0.0022535264798184684,0.010693251877350818,0.0272316934125596,0.08885948599380988,82.5155,83.6848,80.2564,66.54,0.616,True,True,True,-0.11236624407847008,-0.020392036492398007
XLU,46.7331,-0.0024951459298847567,0.011977058949380615,0.00848296800239523,0.08985250056735339,46.2132,46.2183,43.7168,53.08,0.516,True,True,True,-0.16403454111477117,-0.030461363503082428
^TNX,4.378,-0.002733504393690689,0.01577722521705227,0.015070618441070938,0.04561738570912022,4.3157,4.2508,4.1847,60.25,,True,True,True,,
AAPL,281.5999,0.03777375425359475,0.038884073958235454,0.10034353143783381,0.04004799736343623,266.432,261.2478,254.9087,70.11,1.252,True,True,True,0.21624412507240498,
REGN,703.66,-0.004808678790770848,-0.06374660206340521,-0.07637987045500971,-0.09249347950082898,745.113,755.6378,682.6343,35.76,0.516,False,False,True,-0.16403454111477117,
PYPL,50.755,0.012265689787658074,0.0054477323370181185,0.11943098582495848,-0.12437783998811192,48.9062,46.7147,59.069,65.27,0.415,True,True,False,-0.2162195211214353,
BZ=F,108.11,-0.05174985891877282,0.026393228244274702,-0.008438027875315446,0.7795884874131944,102.4835,97.583,73.5191,57.85,0.713,True,True,True,-0.06224799595325802,
MSFT,414.78,0.017166119037114846,-0.023173652797897515,0.11064105465013108,-0.12097368730980396,405.59,396.1172,466.637,62.98,0.582,True,True,False,-0.12993346507081246,
